loeo_direction,terrain_profile,rainfall_scenario,predicted_risk,terrain_elevation,terrain_slope_degrees,terrain_distance_to_drainage,rain_rain_1h,rain_rain_3h,rain_rain_6h,rain_rain_12h,rain_rain_24h
Episode_1_to_Episode_2,typical_class1_flooded,p95,0.025647681,8.958184242248535,0.5422790521488472,1438.0043,0.7,2.4999999999999964,5.100000000000016,9.794999999999703,18.1
Episode_1_to_Episode_2,typical_class1_flooded,p99,0.9261149,8.958184242248535,0.5422790521488472,1438.0043,3.4,8.500000000000002,14.900000000000016,24.4,43.29999999999999
Episode_1_to_Episode_2,typical_class1_flooded,p99.9,0.92762935,8.958184242248535,0.5422790521488472,1438.0043,10.135899999999674,24.999999999999996,46.17949999999837,83.1,146.107699999999
Episode_1_to_Episode_2,typical_class1_flooded,p100,0.92762935,8.958184242248535,0.5422790521488472,1438.0043,34.0,82.8,108.20000000000002,162.7,259.4
Episode_1_to_Episode_2,typical_class2_uncertain,p50,0.05366455,9.922045707702637,0.573972082024992,1352.7671,0.0,0.0,0.0,0.0,0.3000000000000009
Episode_1_to_Episode_2,typical_class2_uncertain,p75,0.05366455,9.922045707702637,0.573972082024992,1352.7671,0.0,0.0999999999999955,0.3000000000000147,1.0,2.7999999999999874
Episode_1_to_Episode_2,typical_class2_uncertain,p90,0.05366455,9.922045707702637,0.573972082024992,1352.7671,0.2,0.9000000000000017,2.2000000000000144,4.999999999999997,10.6
Episode_1_to_Episode_2,typical_class2_uncertain,p95,0.026892843,9.922045707702637,0.573972082024992,1352.7671,0.7,2.4999999999999964,5.100000000000016,9.794999999999703,18.1
Episode_1_to_Episode_2,typical_class2_uncertain,p99,0.91517127,9.922045707702637,0.573972082024992,1352.7671,3.4,8.500000000000002,14.900000000000016,24.4,43.29999999999999
Episode_1_to_Episode_2,typical_class2_uncertain,p99.9,0.9192951,9.922045707702637,0.573972082024992,1352.7671,10.135899999999674,24.999999999999996,46.17949999999837,83.1,146.107699999999
Episode_1_to_Episode_2,typical_class2_uncertain,p100,0.9192951,9.922045707702637,0.573972082024992,1352.7671,34.0,82.8,108.20000000000002,162.7,259.4
Episode_1_to_Episode_2,grid_overall,p50,0.039318018,22.608454704284668,1.3276422979214804,1254.2974,0.0,0.0,0.0,0.0,0.3000000000000009
Episode_1_to_Episode_2,grid_overall,p75,0.039318018,22.608454704284668,1.3276422979214804,1254.2974,0.0,0.0999999999999955,0.3000000000000147,1.0,2.7999999999999874
Episode_1_to_Episode_2,grid_overall,p90,0.039318018,22.608454704284668,1.3276422979214804,1254.2974,0.2,0.9000000000000017,2.2000000000000144,4.999999999999997,10.6
Episode_1_to_Episode_2,grid_overall,p95,0.040857878,22.608454704284668,1.3276422979214804,1254.2974,0.7,2.4999999999999964,5.100000000000016,9.794999999999703,18.1
Episode_1_to_Episode_2,grid_overall,p99,0.058664307,22.608454704284668,1.3276422979214804,1254.2974,3.4,8.500000000000002,14.900000000000016,24.4,43.29999999999999
Episode_1_to_Episode_2,grid_overall,p99.9,0.0596317,22.608454704284668,1.3276422979214804,1254.2974,10.135899999999674,24.999999999999996,46.17949999999837,83.1,146.107699999999
Episode_1_to_Episode_2,grid_overall,p100,0.0596317,22.608454704284668,1.3276422979214804,1254.2974,34.0,82.8,108.20000000000002,162.7,259.4
Episode_2_to_Episode_1,typical_class0_nonflooded,p50,0.003977588,22.83596611022949,1.3410402304949076,1252.1111,0.0,0.0,0.0,0.0,0.3000000000000009
Episode_2_to_Episode_1,typical_class0_nonflooded,p75,0.003977588,22.83596611022949,1.3410402304949076,1252.1111,0.0,0.0999999999999955,0.3000000000000147,1.0,2.7999999999999874
Episode_2_to_Episode_1,typical_class0_nonflooded,p90,0.003977588,22.83596611022949,1.3410402304949076,1252.1111,0.2,0.9000000000000017,2.2000000000000144,4.999999999999997,10.6
Episode_2_to_Episode_1,typical_class0_nonflooded,p95,0.003977588,22.83596611022949,1.3410402304949076,1252.1111,0.7,2.4999999999999964,5.100000000000016,9.794999999999703,18.1
Episode_2_to_Episode_1,typical_class0_nonflooded,p99,0.003977588,22.83596611022949,1.3410402304949076,1252.1111,3.4,8.500000000000002,14.900000000000016,24.4,43.29999999999999
Episode_2_to_Episode_1,typical_class0_nonflooded,p99.9,0.003977588,22.83596611022949,1.3410402304949076,1252.1111,10.135899999999674,24.999999999999996,46.17949999999837,83.1,146.107699999999
Episode_2_to_Episode_1,typical_class0_nonflooded,p100,0.003977588,22.83596611022949,1.3410402304949076,1252.1111,34.0,82.8,108.20000000000002,162.7,259.4
Episode_2_to_Episode_1,typical_class1_flooded,p50,0.008635368,8.958184242248535,0.5422790521488472,1438.0043,0.0,0.0,0.0,0.0,0.3000000000000009
Episode_2_to_Episode_1,typical_class1_flooded,p75,0.008635368,8.958184242248535,0.5422790521488472,1438.0043,0.0,0.0999999999999955,0.3000000000000147,1.0,2.7999999999999874
Episode_2_to_Episode_1,typical_class1_flooded,p90,0.008635368,8.958184242248535,0.5422790521488472,1438.0043,0.2,0.9000000000000017,2.2000000000000144,4.999999999999997,10.6
Episode_2_to_Episode_1,typical_class1_flooded,p95,0.008635368,8.958184242248535,0.5422790521488472,1438.0043,0.7,2.4999999999999964,5.100000000000016,9.794999999999703,18.1
Episode_2_to_Episode_1,typical_class1_flooded,p99,0.008635368,8.958184242248535,0.5422790521488472,1438.0043,3.4,8.500000000000002,14.900000000000016,24.4,43.29999999999999
Episode_2_to_Episode_1,typical_class1_flooded,p99.9,0.008635368,8.958184242248535,0.5422790521488472,1438.0043,10.135899999999674,24.999999999999996,46.17949999999837,83.1,146.107699999999
Episode_2_to_Episode_1,typical_class1_flooded,p100,0.008635368,8.958184242248535,0.5422790521488472,1438.0043,34.0,82.8,108.20000000000002,162.7,259.4
Episode_2_to_Episode_1,typical_class2_uncertain,p50,0.008635368,9.922045707702637,0.573972082024992,1352.7671,0.0,0.0,0.0,0.0,0.3000000000000009
Episode_2_to_Episode_1,typical_class2_uncertain,p75,0.008635368,9.922045707702637,0.573972082024992,1352.7671,0.0,0.0999999999999955,0.3000000000000147,1.0,2.7999999999999874
Episode_2_to_Episode_1,typical_class2_uncertain,p90,0.008635368,9.922045707702637,0.573972082024992,1352.7671,0.2,0.9000000000000017,2.2000000000000144,4.999999999999997,10.6
Episode_2_to_Episode_1,typical_class2_uncertain,p95,0.008635368,9.922045707702637,0.573972082024992,1352.7671,0.7,2.4999999999999964,5.100000000000016,9.794999999999703,18.1
Episode_2_to_Episode_1,typical_class2_uncertain,p99,0.008635368,9.922045707702637,0.573972082024992,1352.7671,3.4,8.500000000000002,14.900000000000016,24.4,43.29999999999999
Episode_2_to_Episode_1,typical_class2_uncertain,p99.9,0.008635368,9.922045707702637,0.573972082024992,1352.7671,10.135899999999674,24.999999999999996,46.17949999999837,83.1,146.107699999999
Episode_2_to_Episode_1,typical_class2_uncertain,p100,0.008635368,9.922045707702637,0.573972082024992,1352.7671,34.0,82.8,108.20000000000002,162.7,259.4
Episode_2_to_Episode_1,grid_overall,p50,0.007156318,22.608454704284668,1.3276422979214804,1254.2974,0.0,0.0,0.0,0.0,0.3000000000000009
Episode_2_to_Episode_1,grid_overall,p75,0.007156318,22.608454704284668,1.3276422979214804,1254.2974,0.0,0.0999999999999955,0.3000000000000147,1.0,2.7999999999999874
Episode_2_to_Episode_1,grid_overall,p90,0.007156318,22.608454704284668,1.3276422979214804,1254.2974,0.2,0.9000000000000017,2.2000000000000144,4.999999999999997,10.6
Episode_2_to_Episode_1,grid_overall,p95,0.007156318,22.608454704284668,1.3276422979214804,1254.2974,0.7,2.4999999999999964,5.100000000000016,9.794999999999703,18.1
Episode_2_to_Episode_1,grid_overall,p99,0.007156318,22.608454704284668,1.3276422979214804,1254.2974,3.4,8.500000000000002,14.900000000000016,24.4,43.29999999999999
Episode_2_to_Episode_1,grid_overall,p99.9,0.007156318,22.608454704284668,1.3276422979214804,1254.2974,10.135899999999674,24.999999999999996,46.17949999999837,83.1,146.107699999999
Episode_2_to_Episode_1,grid_overall,p100,0.007156318,22.608454704284668,1.3276422979214804,1254.2974,34.0,82.8,108.20000000000002,162.7,259.4
